                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     66,              0.0078365,              0.0066504,               0.003038,                      0,                0.97463,                0.86571,                 0.9573,                0.89437,                0.98514,                0.86357,                0.95855,                 0.7866,              0.0040078,              0.0040406,              0.0013766,                      0,                0.00415,                0.00415,                0.00415
                     67,              0.0078883,              0.0066729,              0.0030353,                      0,                0.98927,                0.92159,                0.98499,                0.91203,                 0.9908,                0.92302,                0.98761,                0.82408,              0.0040087,               0.003886,               0.001339,                      0,                0.00406,                0.00406,                0.00406
                     68,              0.0077181,              0.0066449,              0.0029362,                      0,                0.94369,                0.89784,                0.96492,                 0.8902,                0.94519,                0.89927,                0.96642,                0.80374,               0.004288,              0.0039642,               0.001502,                      0,                0.00397,                0.00397,                0.00397
                     69,              0.0077135,              0.0065247,              0.0029233,                      0,                0.98905,                0.79857,                0.94241,                0.85944,                0.96327,                  0.845,                0.95125,                0.77365,              0.0048293,              0.0041397,              0.0018056,                      0,                0.00388,                0.00388,                0.00388
                     70,              0.0074748,              0.0066197,              0.0029126,                      0,                0.98263,                0.82714,                0.96006,                0.86751,                0.98803,                0.82556,                0.96287,                0.77874,              0.0048442,              0.0040698,              0.0017357,                      0,                0.00379,                0.00379,                0.00379
                     71,              0.0074725,              0.0066254,              0.0028913,                      0,                0.99529,                0.83714,                0.96189,                0.88705,                0.99699,                0.83857,                0.96314,                0.79857,               0.004309,              0.0039508,              0.0015784,                      0,                 0.0037,                 0.0037,                 0.0037
                     72,              0.0073823,               0.006545,              0.0028719,                      0,                0.97607,                0.88929,                0.97714,                0.90134,                0.97763,                0.89071,                0.97818,                0.78921,              0.0041703,              0.0040657,              0.0014599,                      0,                0.00361,                0.00361,                0.00361
                     73,              0.0074178,              0.0065572,              0.0028297,                      0,                0.98301,                0.90944,                 0.9783,                0.90666,                0.98456,                0.91087,                   0.98,                0.81221,              0.0040275,              0.0038967,              0.0013737,                      0,                0.00352,                0.00352,                0.00352
                     74,              0.0074307,              0.0065454,              0.0029096,                      0,                0.94795,                   0.91,                0.97333,                 0.8978,                0.94944,                0.91143,                0.97789,                0.81071,              0.0042392,              0.0038737,              0.0014938,                      0,                0.00343,                0.00343,                0.00343
                     75,              0.0072375,              0.0063976,              0.0028521,                      0,                0.99009,                0.85597,                0.96725,                0.88999,                0.99174,                0.85716,                0.96813,                0.80712,              0.0044369,              0.0038636,              0.0014965,                      0,                0.00334,                0.00334,                0.00334
